iter	MultiClass
0	1.086144543
1	1.072869592
2	1.062584674
3	1.05054053
4	1.038809348
5	1.026132827
6	1.015284388
7	1.004477731
8	0.9929126754
9	0.9823206086
10	0.9722327906
11	0.9623830407
12	0.951456526
13	0.9408231665
14	0.9301848766
15	0.9200846814
16	0.9112245561
17	0.901819089
18	0.8924445127
19	0.8832341908
20	0.8743184573
21	0.8646727007
22	0.8554488935
23	0.8464403007
24	0.837974225
25	0.8293289908
26	0.8204549274
27	0.8129831832
28	0.805408371
29	0.799234225
30	0.7927723099
31	0.7843021092
32	0.776827051
33	0.7692258033
34	0.7609263923
35	0.7535148685
36	0.7458544454
37	0.7381876235
38	0.731691732
39	0.7253950886
40	0.7190370604
41	0.7113529743
42	0.7050807777
43	0.6982217291
44	0.6916949561
45	0.6858348799
46	0.6794510675
47	0.673461996
48	0.6669638418
49	0.6605484549
50	0.6543122621
51	0.6480769135
52	0.6419776716
53	0.6360471597
54	0.6299761175
55	0.6235785665
56	0.6185093124
57	0.6131426926
58	0.607961144
59	0.6025416329
60	0.5967401512
61	0.5914680849
62	0.5862932149
63	0.5811085431
64	0.5761527343
65	0.5720645071
66	0.5670473811
67	0.561994989
68	0.5569694753
69	0.5514976536
70	0.546462196
71	0.5417390828
72	0.5379098418
73	0.5333890522
74	0.5289251267
75	0.5242742371
76	0.5199735908
77	0.5160365432
78	0.5118976025
79	0.5076943501
80	0.5035475962
81	0.4989477961
82	0.4946642872
83	0.490151394
84	0.4861107728
85	0.4821567508
86	0.4782037189
87	0.4742636337
88	0.4704195498
89	0.4666317035
90	0.4628904505
91	0.4590089712
92	0.4556734071
93	0.4526999533
94	0.4490816392
95	0.4453885547
96	0.4414615444
97	0.4385886366
98	0.4349494138
99	0.4317085907
100	0.4287090402
101	0.4253163393
102	0.4219607638
103	0.4188660756
104	0.416039616
105	0.4127950503
106	0.4093309481
107	0.4062018817
108	0.403383376
109	0.4003448861
110	0.3975408966
111	0.394636702
112	0.3915961944
113	0.388735338
114	0.3856451941
115	0.3824128146
116	0.3797658033
117	0.3769754882
118	0.3743676766
119	0.3715693217
120	0.3687860901
121	0.3663472767
122	0.3637314565
123	0.3611156475
124	0.358567537
125	0.3559976821
126	0.3531934913
127	0.350398009
128	0.3479609821
129	0.3453343787
130	0.342621316
131	0.3401148144
132	0.3379980791
133	0.3358224289
134	0.3331823973
135	0.3307659206
136	0.3284297723
137	0.3258963503
138	0.3238825625
139	0.3217002772
140	0.3194948054
141	0.3172748676
