iter	Passed	Remaining
400	19609	7970
401	19658	7922
402	19707	7873
403	19757	7824
404	19806	7775
405	19855	7726
406	19903	7677
407	19954	7629
408	20004	7581
409	20054	7532
410	20103	7483
411	20153	7435
412	20201	7385
413	20248	7336
414	20297	7287
415	20346	7238
416	20396	7190
417	20444	7140
418	20494	7092
419	20543	7043
420	20594	6995
421	20642	6946
422	20692	6897
423	20741	6848
424	20790	6799
425	20839	6750
426	20886	6701
427	20933	6651
428	20981	6602
429	21033	6554
430	21079	6504
431	21130	6456
432	21180	6407
433	21230	6359
434	21276	6309
435	21326	6260
436	21375	6212
437	21423	6162
438	21469	6113
439	21517	6064
440	21568	6015
441	21617	5966
442	21665	5917
443	21713	5868
444	21762	5819
445	21809	5770
446	21859	5721
447	21907	5672
448	21953	5622
449	22001	5573
450	22052	5525
451	22100	5476
452	22149	5427
453	22199	5378
454	22247	5329
455	22296	5280
456	22345	5231
457	22394	5182
458	22444	5134
459	22493	5085
460	22540	5036
461	22590	4987
462	22637	4938
463	22683	4888
464	22733	4840
465	22783	4791
466	22829	4741
467	22878	4693
468	22927	4644
469	22975	4595
470	23023	4546
471	23074	4497
472	23123	4448
473	23170	4399
474	23217	4350
475	23264	4301
476	23313	4252
477	23362	4203
478	23409	4154
479	23456	4104
480	23503	4055
481	23550	4006
482	23598	3957
483	23647	3908
484	23693	3859
485	23742	3810
486	23790	3761
487	23840	3712
488	23888	3663
489	23937	3615
490	23985	3566
491	24036	3517
492	24086	3468
493	24132	3419
494	24183	3371
495	24232	3322
496	24281	3273
497	24329	3224
498	24380	3175
499	24428	3126
500	24476	3077
501	24525	3029
502	24574	2980
503	24621	2931
504	24673	2882
505	24723	2833
506	24771	2784
507	24818	2735
508	24866	2686
509	24915	2638
510	24963	2589
511	25012	2540
512	25061	2491
513	25109	2442
514	25157	2393
515	25205	2344
516	25255	2295
517	25303	2246
518	25353	2198
519	25401	2149
520	25449	2100
521	25499	2051
522	25547	2002
523	25598	1954
524	25645	1905
525	25694	1856
526	25742	1807
527	25791	1758
528	25839	1709
529	25888	1660
530	25935	1611
531	25984	1562
532	26033	1514
533	26081	1465
534	26130	1416
535	26178	1367
536	26228	1318
537	26278	1269
538	26327	1221
539	26375	1172
540	26424	1123
541	26474	1074
542	26522	1025
543	26568	976
544	26616	927
545	26666	879
546	26714	830
547	26764	781
548	26813	732
549	26859	683
550	26907	634
551	26957	586
552	27006	537
553	27053	488
554	27103	439
555	27152	390
556	27202	341
557	27249	293
558	27298	244
559	27347	195
560	27395	146
561	27442	97
562	27490	48
563	27538	0
